"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"1000000US060750102022004","Block 2004, Block Group 2, Census Tract 102.02, San Francisco County, California","150","125","0","0","11","0","3","11",
"1000000US060750102022005","Block 2005, Block Group 2, Census Tract 102.02, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750102022006","Block 2006, Block Group 2, Census Tract 102.02, San Francisco County, California","213","155","3","0","34","0","6","15",
"1000000US060750102022007","Block 2007, Block Group 2, Census Tract 102.02, San Francisco County, California","140","96","0","0","23","0","4","17",
"1000000US060750103001000","Block 1000, Block Group 1, Census Tract 103, San Francisco County, California","84","58","1","0","19","0","1","5",
"1000000US060750103001001","Block 1001, Block Group 1, Census Tract 103, San Francisco County, California","104","68","0","0","27","0","1","8",
"1000000US060750103001002","Block 1002, Block Group 1, Census Tract 103, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750103001003","Block 1003, Block Group 1, Census Tract 103, San Francisco County, California","61","43","3","0","6","1","0","8",
"1000000US060750103001004","Block 1004, Block Group 1, Census Tract 103, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750103001005","Block 1005, Block Group 1, Census Tract 103, San Francisco County, California","103","76","0","0","7","0","8","12",
"1000000US060750103001006","Block 1006, Block Group 1, Census Tract 103, San Francisco County, California","79","61","2","0","10","0","1","5",
"1000000US060750103001007","Block 1007, Block Group 1, Census Tract 103, San Francisco County, California","227","142","0","0","61","0","6","18",
"1000000US060750103001008","Block 1008, Block Group 1, Census Tract 103, San Francisco County, California","97","59","1","0","13","0","7","17",
"1000000US060750103001009","Block 1009, Block Group 1, Census Tract 103, San Francisco County, California","63","41","1","0","15","0","0","6",
"1000000US060750103001010","Block 1010, Block Group 1, Census Tract 103, San Francisco County, California","117","60","2","2","42","0","3","8",
"1000000US060750103001011","Block 1011, Block Group 1, Census Tract 103, San Francisco County, California","213","137","8","0","54","0","2","12",
"1000000US060750103001012","Block 1012, Block Group 1, Census Tract 103, San Francisco County, California","330","177","6","0","122","1","4","20",
"1000000US060750103001013","Block 1013, Block Group 1, Census Tract 103, San Francisco County, California","207","154","0","0","38","0","4","11",
