"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1000000US060750103003006","Block 3006, Block Group 3, Census Tract 103, San Francisco County, California","132",
"1000000US060750103003007","Block 3007, Block Group 3, Census Tract 103, San Francisco County, California","211",
"1000000US060750104011000","Block 1000, Block Group 1, Census Tract 104.01, San Francisco County, California","281",
"1000000US060750104011001","Block 1001, Block Group 1, Census Tract 104.01, San Francisco County, California","185",
"1000000US060750104011002","Block 1002, Block Group 1, Census Tract 104.01, San Francisco County, California","0",
"1000000US060750104011003","Block 1003, Block Group 1, Census Tract 104.01, San Francisco County, California","0",
"1000000US060750104011004","Block 1004, Block Group 1, Census Tract 104.01, San Francisco County, California","52",
"1000000US060750104011005","Block 1005, Block Group 1, Census Tract 104.01, San Francisco County, California","93",
"1000000US060750104012000","Block 2000, Block Group 2, Census Tract 104.01, San Francisco County, California","262",
"1000000US060750104012001","Block 2001, Block Group 2, Census Tract 104.01, San Francisco County, California","286",
"1000000US060750104012002","Block 2002, Block Group 2, Census Tract 104.01, San Francisco County, California","295",
"1000000US060750104012003","Block 2003, Block Group 2, Census Tract 104.01, San Francisco County, California","236",
"1000000US060750104012004","Block 2004, Block Group 2, Census Tract 104.01, San Francisco County, California","204",
"1000000US060750104012005","Block 2005, Block Group 2, Census Tract 104.01, San Francisco County, California","135",
"1000000US060750104012006","Block 2006, Block Group 2, Census Tract 104.01, San Francisco County, California","185",
"1000000US060750104021000","Block 1000, Block Group 1, Census Tract 104.02, San Francisco County, California","313",
"1000000US060750104021001","Block 1001, Block Group 1, Census Tract 104.02, San Francisco County, California","82",
"1000000US060750104021002","Block 1002, Block Group 1, Census Tract 104.02, San Francisco County, California","151",
"1000000US060750104021003","Block 1003, Block Group 1, Census Tract 104.02, San Francisco County, California","11",
"1000000US060750104021004","Block 1004, Block Group 1, Census Tract 104.02, San Francisco County, California","110",
"1000000US060750104021005","Block 1005, Block Group 1, Census Tract 104.02, San Francisco County, California","113",
"1000000US060750104022000","Block 2000, Block Group 2, Census Tract 104.02, San Francisco County, California","236",
"1000000US060750104022001","Block 2001, Block Group 2, Census Tract 104.02, San Francisco County, California","74",
"1000000US060750104022002","Block 2002, Block Group 2, Census Tract 104.02, San Francisco County, California","181",
"1000000US060750104022003","Block 2003, Block Group 2, Census Tract 104.02, San Francisco County, California","208",
"1000000US060750104023000","Block 3000, Block Group 3, Census Tract 104.02, San Francisco County, California","82",
"1000000US060750104023001","Block 3001, Block Group 3, Census Tract 104.02, San Francisco County, California","134",
"1000000US060750104023002","Block 3002, Block Group 3, Census Tract 104.02, San Francisco County, California","176",
"1000000US060750104023003","Block 3003, Block Group 3, Census Tract 104.02, San Francisco County, California","282",
"1000000US060750104023004","Block 3004, Block Group 3, Census Tract 104.02, San Francisco County, California","140",
"1000000US060750105001000","Block 1000, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001001","Block 1001, Block Group 1, Census Tract 105, San Francisco County, California","20",
"1000000US060750105001002","Block 1002, Block Group 1, Census Tract 105, San Francisco County, California","13",
"1000000US060750105001003","Block 1003, Block Group 1, Census Tract 105, San Francisco County, California","2",
"1000000US060750105001004","Block 1004, Block Group 1, Census Tract 105, San Francisco County, California","3",
"1000000US060750105001005","Block 1005, Block Group 1, Census Tract 105, San Francisco County, California","5",
"1000000US060750105001006","Block 1006, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001007","Block 1007, Block Group 1, Census Tract 105, San Francisco County, California","7",
"1000000US060750105001008","Block 1008, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001009","Block 1009, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001010","Block 1010, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001011","Block 1011, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001012","Block 1012, Block Group 1, Census Tract 105, San Francisco County, California","242",
"1000000US060750105001013","Block 1013, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001014","Block 1014, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001015","Block 1015, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001016","Block 1016, Block Group 1, Census Tract 105, San Francisco County, California","0",
"1000000US060750105001017","Block 1017, Block Group 1, Census Tract 105, San Francisco County, California","145",
"1000000US060750105001018","Block 1018, Block Group 1, Census Tract 105, San Francisco County, California","234",
"1000000US060750105001019","Block 1019, Block Group 1, Census Tract 105, San Francisco County, California","21",
"1000000US060750105001020","Block 1020, Block Group 1, Census Tract 105, San Francisco County, California","325",
"1000000US060750105001021","Block 1021, Block Group 1, Census Tract 105, San Francisco County, California","248",
"1000000US060750105002000","Block 2000, Block Group 2, Census Tract 105, San Francisco County, California","0",
"1000000US060750105002001","Block 2001, Block Group 2, Census Tract 105, San Francisco County, California","37",
"1000000US060750105002002","Block 2002, Block Group 2, Census Tract 105, San Francisco County, California","2",
"1000000US060750105002003","Block 2003, Block Group 2, Census Tract 105, San Francisco County, California","112",
