"GEOID","AFFGEOID","tree_cover_percentage"
"060759809001","1500000US060759809001",0.156380164106296
"060750119022","1500000US060750119022",2.5012466187478
"060750217003","1500000US060750217003",11.4817857106672
"060750231022","1500000US060750231022",2.92328273179129
"060759805011","1500000US060759805011",16.2633493716383
"060750330023","1500000US060750330023",26.7981076671391
"060750251001","1500000US060750251001",5.19837140798968
"060750176042","1500000US060750176042",0.677170311327361
"060750304001","1500000US060750304001",16.1699671652292
"060750201021","1500000US060750201021",1.25463849992854
"060750206012","1500000US060750206012",4.82717929761913
"060750218002","1500000US060750218002",11.4759609147568
"060750109011","1500000US060750109011",1.7335463868734
"060750158021","1500000US060750158021",5.26474944532188
"060750204011","1500000US060750204011",9.18915175307745
"060750326011","1500000US060750326011",1.34452932342918
"060750229021","1500000US060750229021",2.35543282224843
"060750301022","1500000US060750301022",16.2412218436767
"060750327004","1500000US060750327004",0.618567025819444
"060750477022","1500000US060750477022",2.33148254214305
"060750103002","1500000US060750103002",1.05274386228946
"060750132001","1500000US060750132001",7.64994037718501
"060750177002","1500000US060750177002",0.879138670760936
"060750121001","1500000US060750121001",0.989704004630828
"060750124043","1500000US060750124043",0.112101607615695
"060750615083","1500000US060750615083",1.57901673275268
"060750256002","1500000US060750256002",1.2188135380894
"060750612002","1500000US060750612002",2.09726262110475
"060750171012","1500000US060750171012",13.2905629058391
"060750264032","1500000US060750264032",2.16610512443958
"060750258002","1500000US060750258002",2.87178941088296
"060750353004","1500000US060750353004",0.818040602449722
"060750261004","1500000US060750261004",1.88270493226851
"060750228022","1500000US060750228022",2.61903202413497
"060750209004","1500000US060750209004",2.76100502666196
"060750254012","1500000US060750254012",8.50295803380954
"060750260031","1500000US060750260031",2.98022540794877
"060750176031","1500000US060750176031",0.829542885892535
"060750122031","1500000US060750122031",0.530894102003599
"060750155004","1500000US060750155004",1.63136506248396
"060750171022","1500000US060750171022",10.5081591094811
"060750226002","1500000US060750226002",0.313390502470324
"060750402001","1500000US060750402001",6.2202814999628
"060750227021","1500000US060750227021",1.27041250351626
"060750112001","1500000US060750112001",1.2760520177451
"060750163003","1500000US060750163003",4.58116428900667
"060750203003","1500000US060750203003",2.3010806949876
"060750305003","1500000US060750305003",24.7881193312395
"060750255021","1500000US060750255021",2.00190253406116
"060750204023","1500000US060750204023",10.5566205753352
"060750354004","1500000US060750354004",0.213529249987756
"060750208022","1500000US060750208022",2.26475119153013
"060750180001","1500000US060750180001",0.8802132319645
"060750330022","1500000US060750330022",2.80636371638662
"060750123012","1500000US060750123012",0.368716071604553
"060750263021","1500000US060750263021",1.3297206417845
"060750353006","1500000US060750353006",0.190709864991523
"060750615072","1500000US060750615072",0
"060750310001","1500000US060750310001",7.63060306016481
"060750615063","1500000US060750615063",0.949109711690768
"060750130011","1500000US060750130011",2.23159632473919
"060750129011","1500000US060750129011",1.10667956453057
"060750207022","1500000US060750207022",4.34944274384995
"060750120011","1500000US060750120011",1.22832795241553
"060750129022","1500000US060750129022",0.834004935937961
"060750113002","1500000US060750113002",0.256225411224622
"060750106003","1500000US060750106003",0.786478750383977
"060750214003","1500000US060750214003",4.81595579323789
"060750204021","1500000US060750204021",13.9117683122527
"060750478023","1500000US060750478023",0.387222931264324
"060750126021","1500000US060750126021",2.192666793176
"060750176034","1500000US060750176034",0.366233445906775
"060750212001","1500000US060750212001",9.20482825159546
"060750252002","1500000US060750252002",5.7099850388843
"060750106002","1500000US060750106002",1.09218269144561
"060750158012","1500000US060750158012",9.033646419335
"060750313022","1500000US060750313022",3.30157179342413
"060750329012","1500000US060750329012",0.714836211152744
"060750168013","1500000US060750168013",2.13709236352733
"060750125023","1500000US060750125023",0.193940207028053
"060750451002","1500000US060750451002",6.55213183159325
"060750157021","1500000US060750157021",4.15559068288192
"060750264041","1500000US060750264041",0.798171645046763
"060750159001","1500000US060750159001",6.71230216243248
"060750132003","1500000US060750132003",1.62757446551859
"060750205003","1500000US060750205003",9.74742245565977
"060750261003","1500000US060750261003",1.50985807560941
"060750260042","1500000US060750260042",1.20147734487998
"060750426023","1500000US060750426023",6.41456100685475
"060750207011","1500000US060750207011",5.46511011190257
"060750210003","1500000US060750210003",4.56905918515552
"060750107011","1500000US060750107011",0.0604411453556685
"060750159003","1500000US060750159003",5.2778613946332
"060750352013","1500000US060750352013",0.438007729506693
"060750126011","1500000US060750126011",4.06727438384024
"060750119021","1500000US060750119021",0.915139208986498
"060750301014","1500000US060750301014",7.00476783921676
"060750351022","1500000US060750351022",0.453822739371859
"060750132002","1500000US060750132002",9.9616802890492
"060750168022","1500000US060750168022",3.31267785302816
"060750401003","1500000US060750401003",2.08744077964352
"060750131012","1500000US060750131012",1.96258889243721
