"GEO_ID","NAME","H4_001N","H4_002N","H4_003N","H4_004N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Owned with a mortgage or a loan"," !!Total:!!Owned free and clear"," !!Total:!!Renter occupied",
"1000000US060750106002001","Block 2001, Block Group 2, Census Tract 106, San Francisco County, California","38","3","0","35",
"1000000US060750106002002","Block 2002, Block Group 2, Census Tract 106, San Francisco County, California","251","27","0","224",
"1000000US060750106002003","Block 2003, Block Group 2, Census Tract 106, San Francisco County, California","34","0","11","23",
"1000000US060750106002004","Block 2004, Block Group 2, Census Tract 106, San Francisco County, California","82","0","0","82",
"1000000US060750106002005","Block 2005, Block Group 2, Census Tract 106, San Francisco County, California","60","0","0","60",
"1000000US060750106002006","Block 2006, Block Group 2, Census Tract 106, San Francisco County, California","78","0","8","70",
"1000000US060750106002007","Block 2007, Block Group 2, Census Tract 106, San Francisco County, California","94","0","0","94",
"1000000US060750106002008","Block 2008, Block Group 2, Census Tract 106, San Francisco County, California","0","0","0","0",
"1000000US060750106003000","Block 3000, Block Group 3, Census Tract 106, San Francisco County, California","84","13","0","71",
"1000000US060750106003001","Block 3001, Block Group 3, Census Tract 106, San Francisco County, California","71","0","0","71",
"1000000US060750106003002","Block 3002, Block Group 3, Census Tract 106, San Francisco County, California","0","0","0","0",
"1000000US060750106003003","Block 3003, Block Group 3, Census Tract 106, San Francisco County, California","43","0","0","43",
"1000000US060750106003004","Block 3004, Block Group 3, Census Tract 106, San Francisco County, California","65","0","13","52",
"1000000US060750106003005","Block 3005, Block Group 3, Census Tract 106, San Francisco County, California","76","1","12","63",
"1000000US060750106003006","Block 3006, Block Group 3, Census Tract 106, San Francisco County, California","35","0","0","35",
"1000000US060750106003007","Block 3007, Block Group 3, Census Tract 106, San Francisco County, California","66","0","0","66",
"1000000US060750106003008","Block 3008, Block Group 3, Census Tract 106, San Francisco County, California","22","0","0","22",
"1000000US060750106003009","Block 3009, Block Group 3, Census Tract 106, San Francisco County, California","17","0","0","17",
"1000000US060750106003010","Block 3010, Block Group 3, Census Tract 106, San Francisco County, California","113","0","0","113",
"1000000US060750107011000","Block 1000, Block Group 1, Census Tract 107.01, San Francisco County, California","14","0","0","14",
"1000000US060750107011001","Block 1001, Block Group 1, Census Tract 107.01, San Francisco County, California","172","0","0","172",
"1000000US060750107011002","Block 1002, Block Group 1, Census Tract 107.01, San Francisco County, California","302","0","0","302",
"1000000US060750107011003","Block 1003, Block Group 1, Census Tract 107.01, San Francisco County, California","53","0","0","53",
"1000000US060750107011004","Block 1004, Block Group 1, Census Tract 107.01, San Francisco County, California","213","0","15","198",
"1000000US060750107011005","Block 1005, Block Group 1, Census Tract 107.01, San Francisco County, California","0","0","0","0",
"1000000US060750107011006","Block 1006, Block Group 1, Census Tract 107.01, San Francisco County, California","89","0","0","89",
"1000000US060750107012000","Block 2000, Block Group 2, Census Tract 107.01, San Francisco County, California","368","0","0","368",
"1000000US060750107012001","Block 2001, Block Group 2, Census Tract 107.01, San Francisco County, California","277","0","0","277",
"1000000US060750107012002","Block 2002, Block Group 2, Census Tract 107.01, San Francisco County, California","107","0","0","107",
"1000000US060750107012003","Block 2003, Block Group 2, Census Tract 107.01, San Francisco County, California","172","23","22","127",
"1000000US060750107021000","Block 1000, Block Group 1, Census Tract 107.02, San Francisco County, California","29","8","0","21",
"1000000US060750107021001","Block 1001, Block Group 1, Census Tract 107.02, San Francisco County, California","28","0","0","28",
"1000000US060750107021002","Block 1002, Block Group 1, Census Tract 107.02, San Francisco County, California","85","0","20","65",
"1000000US060750107021003","Block 1003, Block Group 1, Census Tract 107.02, San Francisco County, California","0","0","0","0",
"1000000US060750107021004","Block 1004, Block Group 1, Census Tract 107.02, San Francisco County, California","108","17","9","82",
"1000000US060750107021005","Block 1005, Block Group 1, Census Tract 107.02, San Francisco County, California","73","19","0","54",
"1000000US060750107021006","Block 1006, Block Group 1, Census Tract 107.02, San Francisco County, California","88","1","12","75",
"1000000US060750107022000","Block 2000, Block Group 2, Census Tract 107.02, San Francisco County, California","12","2","4","6",
"1000000US060750107022001","Block 2001, Block Group 2, Census Tract 107.02, San Francisco County, California","147","0","2","145",
"1000000US060750107022002","Block 2002, Block Group 2, Census Tract 107.02, San Francisco County, California","178","0","0","178",
"1000000US060750108001000","Block 1000, Block Group 1, Census Tract 108, San Francisco County, California","126","30","24","72",
"1000000US060750108001001","Block 1001, Block Group 1, Census Tract 108, San Francisco County, California","160","48","96","16",
"1000000US060750108001002","Block 1002, Block Group 1, Census Tract 108, San Francisco County, California","34","0","0","34",
"1000000US060750108001003","Block 1003, Block Group 1, Census Tract 108, San Francisco County, California","24","19","0","5",
"1000000US060750108001004","Block 1004, Block Group 1, Census Tract 108, San Francisco County, California","153","2","14","137",
"1000000US060750108001005","Block 1005, Block Group 1, Census Tract 108, San Francisco County, California","10","0","0","10",
"1000000US060750108001006","Block 1006, Block Group 1, Census Tract 108, San Francisco County, California","64","30","6","28",
"1000000US060750108001007","Block 1007, Block Group 1, Census Tract 108, San Francisco County, California","89","22","0","67",
"1000000US060750108002000","Block 2000, Block Group 2, Census Tract 108, San Francisco County, California","159","0","0","159",
"1000000US060750108002001","Block 2001, Block Group 2, Census Tract 108, San Francisco County, California","80","0","10","70",
"1000000US060750108002002","Block 2002, Block Group 2, Census Tract 108, San Francisco County, California","69","0","0","69",
"1000000US060750108002003","Block 2003, Block Group 2, Census Tract 108, San Francisco County, California","39","0","0","39",
"1000000US060750108002004","Block 2004, Block Group 2, Census Tract 108, San Francisco County, California","5","0","0","5",
"1000000US060750108002005","Block 2005, Block Group 2, Census Tract 108, San Francisco County, California","95","1","15","79",
"1000000US060750108002006","Block 2006, Block Group 2, Census Tract 108, San Francisco County, California","88","8","58","22",
"1000000US060750108002007","Block 2007, Block Group 2, Census Tract 108, San Francisco County, California","48","0","0","48",
"1000000US060750108002008","Block 2008, Block Group 2, Census Tract 108, San Francisco County, California","168","41","6","121",
"1000000US060750108003000","Block 3000, Block Group 3, Census Tract 108, San Francisco County, California","112","14","0","98",
"1000000US060750108003001","Block 3001, Block Group 3, Census Tract 108, San Francisco County, California","105","4","33","68",
"1000000US060750108003002","Block 3002, Block Group 3, Census Tract 108, San Francisco County, California","192","15","0","177",
"1000000US060750108003003","Block 3003, Block Group 3, Census Tract 108, San Francisco County, California","24","6","7","11",
"1000000US060750108003004","Block 3004, Block Group 3, Census Tract 108, San Francisco County, California","29","5","0","24",
"1000000US060750108003005","Block 3005, Block Group 3, Census Tract 108, San Francisco County, California","86","0","2","84",
"1000000US060750108003006","Block 3006, Block Group 3, Census Tract 108, San Francisco County, California","117","0","4","113",
"1000000US060750108003007","Block 3007, Block Group 3, Census Tract 108, San Francisco County, California","78","9","0","69",
"1000000US060750108003008","Block 3008, Block Group 3, Census Tract 108, San Francisco County, California","211","16","0","195",
"1000000US060750109011000","Block 1000, Block Group 1, Census Tract 109.01, San Francisco County, California","169","41","26","102",
"1000000US060750109011001","Block 1001, Block Group 1, Census Tract 109.01, San Francisco County, California","146","14","2","130",
"1000000US060750109011002","Block 1002, Block Group 1, Census Tract 109.01, San Francisco County, California","41","29","0","12",
"1000000US060750109011003","Block 1003, Block Group 1, Census Tract 109.01, San Francisco County, California","109","6","1","102",
"1000000US060750109011004","Block 1004, Block Group 1, Census Tract 109.01, San Francisco County, California","42","0","6","36",
"1000000US060750109011005","Block 1005, Block Group 1, Census Tract 109.01, San Francisco County, California","28","0","0","28",
"1000000US060750109011006","Block 1006, Block Group 1, Census Tract 109.01, San Francisco County, California","37","0","0","37",
"1000000US060750109011007","Block 1007, Block Group 1, Census Tract 109.01, San Francisco County, California","33","20","5","8",
"1000000US060750109011008","Block 1008, Block Group 1, Census Tract 109.01, San Francisco County, California","14","0","14","0",
"1000000US060750109012000","Block 2000, Block Group 2, Census Tract 109.01, San Francisco County, California","183","56","0","127",
"1000000US060750109012001","Block 2001, Block Group 2, Census Tract 109.01, San Francisco County, California","162","6","0","156",
"1000000US060750109012002","Block 2002, Block Group 2, Census Tract 109.01, San Francisco County, California","137","7","44","86",
"1000000US060750109012003","Block 2003, Block Group 2, Census Tract 109.01, San Francisco County, California","138","35","4","99",
"1000000US060750109021000","Block 1000, Block Group 1, Census Tract 109.02, San Francisco County, California","215","24","3","188",
"1000000US060750109021001","Block 1001, Block Group 1, Census Tract 109.02, San Francisco County, California","127","20","0","107",
"1000000US060750109021002","Block 1002, Block Group 1, Census Tract 109.02, San Francisco County, California","227","0","0","227",
"1000000US060750109021003","Block 1003, Block Group 1, Census Tract 109.02, San Francisco County, California","123","31","7","85",
